date_start,date_stop,campaign_name,adset_name,ad_name,publisher_platform,platform_position,impression_device,impressions,clicks,spend
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Sneaker_Carousel_V1,facebook,feed,mobile_web,80,1,3.05
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Sneaker_Carousel_V1,facebook,story,mobile_web,48,1,1.86
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Sneaker_Carousel_V1,facebook,reels,desktop,65,1,2.48
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Sneaker_Carousel_V1,facebook,right_hand_column,mobile_app,103,2,3.92
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Sneaker_Carousel_V1,facebook,marketplace,mobile_app,63,1,2.42
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Sneaker_Carousel_V1,instagram,feed,desktop,109,2,4.15
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Sneaker_Carousel_V1,instagram,story,mobile_app,52,1,2.0
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Sneaker_Carousel_V1,instagram,reels,desktop,72,1,2.75
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Sneaker_Carousel_V1,instagram,ig_explore,desktop,121,2,4.61
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Krampon_Video_V2,facebook,feed,desktop,145,2,5.3
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Krampon_Video_V2,facebook,story,mobile_app,100,1,3.67
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Krampon_Video_V2,facebook,reels,mobile_web,149,2,5.47
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Krampon_Video_V2,facebook,right_hand_column,mobile_web,62,0,2.29
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Krampon_Video_V2,facebook,marketplace,mobile_web,80,1,2.93
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Krampon_Video_V2,instagram,feed,mobile_app,85,1,3.13
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Krampon_Video_V2,instagram,story,mobile_app,66,0,2.42
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Krampon_Video_V2,instagram,reels,mobile_web,104,1,3.81
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,Krampon_Video_V2,instagram,ig_explore,mobile_web,124,1,4.56
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,PumaSuede_Carousel_V1,facebook,feed,mobile_app,79,0,2.73
2024-10-01,2024-10-01,SP_Meta_BrandAwareness_Q4_2024,35-44_Erkek_Izmir_Ankara,PumaSuede_Carousel_V1,facebook,story,mobile_web,47,0,1.61
